date,ADAUSDT,MKRUSDT,DOTUSDT,NEARUSDT,AAVEUSDT,ATOMUSDT,LINKUSDT,LTCUSDT,AVAXUSDT,XRPUSDT,UNIUSDT,OPUSDT,INJUSDT,APTUSDT,BNBUSDT,BTCUSDT,ETHUSDT,SOLUSDT,FETUSDT,RNDRUSDT,STXUSDT,ARBUSDT,SUIUSDT,WLDUSDT,SEIUSDT,TIAUSDT
2022-01-30,-0.2,0.057644590458991854,0.057644590458991854,0.0,0.05684258705999918,0.04660494701921061,0.03936216122820364,0.057644590458991854,0.026611942856619168,-0.2,0.057644590458991854,,,,,,,,,,,,,,,
2022-01-31,-0.25224650197606363,0.1670016044862928,0.16662421315624001,-0.17118284908778475,0.06017840169453665,-0.03748568720841158,0.12007303498345284,0.1656934374106321,-0.01910603834566202,-0.2531220611928281,0.0629117445964786,,,,,,,,,,,,,,,
2022-02-01,-0.2627107717059936,0.2311359151535131,0.2311359151535131,-0.2577885490002292,-2.373032518220828e-05,-0.19944459480071797,0.18509664789537883,0.2311359151535131,-0.020055593674499706,-0.25750956492644755,0.12226176605037502,,,,,,,,,,,,,,,
2022-02-02,-0.21907290805597834,0.22531143754677382,0.22167911915684707,-0.21907290805597834,-0.06861510180331991,-0.21907290805597834,0.17198917936879432,0.21737184474751844,-0.05863953791851182,-0.21907290805597834,0.1156768307988102,,,,,,,,,,,,,,,
2022-02-03,-0.24753234507042263,0.24168948940659213,0.22338134243624694,-0.24753234507042263,-0.00022354068488929463,-0.24714295150334248,0.17763782221136565,0.22281719230959804,0.003711338002654428,-0.24753234507042263,0.11442150869399684,,,,,,,,,,,,,,,
2022-02-04,-0.17067739009340005,0.24006748298446226,0.22062996896573697,-0.17261420141701533,-0.08421915023304884,-0.17018810208564283,0.16872238557192737,0.22062996896573697,-0.16347196314218115,-0.17070226465859334,0.07096667347481625,,,,,,,,,,,,,,,
2022-02-05,-0.22296453352588216,0.23717104294494457,0.229649128136644,-0.22296453352588216,0.005759541022909969,-0.22296453352588216,0.10869549984687694,0.2215036789327657,0.00527934749573462,-0.22296453352588216,0.0713923083439249,,,,,,,,,,,,,,,
2022-02-06,-0.18383638738905533,0.2363916372615834,0.23592051480028545,-0.18383638738905533,-0.09124501147858184,-0.18383638738905533,0.16986394570993868,0.23211561457396898,0.005411022569673442,-0.18383638738905533,-0.069361627000533,,,,,,,,,,,,,,,
2022-02-07,-0.19278438978670173,0.23700252279719078,0.24079107626414445,-0.1840545260866395,-0.006196218936213554,-0.1859773710719738,0.09327862824339217,0.2498446459882605,0.03006393108069568,-0.19134841884514134,-0.07356554215607325,,,,,,,,,,,,,,,
2022-02-08,-0.18895412976756532,0.2321681010585049,0.2332481713422389,-0.17406104700356492,-0.006259890380387195,-0.17863097376437725,0.09077294505385101,0.24318260748966636,0.03119896466965065,-0.17654801739294265,-0.1441590513300868,,,,,,,,,,,,,,,
